ball_qw,ball_qx,ball_qy,ball_qz
0.99998,0.0042916,0.00210964,0.00418305
0.999978,0.00435662,0.00188078,0.00454385
0.99998,0.0043267,0.00139343,0.00441978
0.99998,0.00443044,0.0014142,0.00438371
0.99998,0.00433879,0.00178003,0.00421645
0.999979,0.00432022,0.00143244,0.00453055
0.99998,0.0043325,0.00140614,0.0044093
0.999982,0.00434839,0.00197308,0.00377001
0.99998,0.00439165,0.00179005,0.00424095
0.999981,0.00444893,0.00166426,0.003871
0.99998,0.00430843,0.00141361,0.00447096
0.999979,0.00435687,0.00158875,0.0044394
0.999979,0.00434206,0.00198395,0.00448183
0.999977,0.00443937,0.00181709,0.00470674
0.999978,0.00429666,0.00188299,0.00458568
0.99998,0.00439279,0.00181588,0.00409364
0.999979,0.0043979,0.00143855,0.00451071
0.99998,0.00435593,0.00178767,0.00420568
0.99998,0.00436086,0.00176476,0.00415959
0.999978,0.00433926,0.00189183,0.00462498
0.999979,0.00430567,0.00194247,0.00454077
0.999981,0.0044658,0.001372,0.00397568
0.999978,0.00433518,0.00154194,0.00470942
0.999979,0.00434146,0.00138892,0.00459509
0.999979,0.00435944,0.00163156,0.00457975
0.999979,0.00435199,0.0018893,0.00447371
0.99998,0.00433664,0.00139816,0.00444128
0.999979,0.00434413,0.00159739,0.00444323
0.999979,0.00435971,0.00189123,0.00429851
0.999981,0.00445873,0.00134471,0.00407238
0.999977,0.00439548,0.00180765,0.00476027
0.99998,0.00432323,0.00141518,0.00442589
0.999978,0.00441318,0.00173009,0.00459324
0.999977,0.00435944,0.00188494,0.00477223
0.999979,0.00430954,0.00148943,0.00465929
0.99998,0.00433268,0.00138621,0.00445861
0.999979,0.00439964,0.00141703,0.00446195
0.99998,0.00439161,0.0014119,0.00434705
0.999981,0.00449571,0.00135096,0.00391174
0.999983,0.00435247,0.00206697,0.00330198
0.999978,0.00433364,0.00199115,0.00450681
0.999978,0.0043273,0.00188994,0.00456531
0.999983,0.0044304,0.00165958,0.00355866
0.999979,0.00429377,0.00191983,0.00449413
0.99998,0.00438216,0.00178528,0.00425751
0.999979,0.00428453,0.00172174,0.00461682
0.999979,0.00436019,0.00183351,0.0044763
0.999978,0.00425259,0.00194463,0.0046359
0.999979,0.00439428,0.00185482,0.00429254
0.999981,0.00435966,0.0016197,0.00401754
0.999974,0.00412493,0.00179865,0.00559193
0.999979,0.00434633,0.00179935,0.00436247
0.999978,0.00434886,0.00197807,0.00452574
0.99998,0.00429449,0.00144454,0.00438805
0.999975,0.00437124,0.00194983,0.00525683
0.999979,0.00436736,0.00143737,0.00447818
0.99998,0.0043531,0.00182102,0.00424044
0.99998,0.00433665,0.00144818,0.00447087
0.999978,0.00432324,0.00194524,0.00461895
0.999981,0.00431357,0.00149293,0.00424846
0.99998,0.00436526,0.0014141,0.00440948
0.99998,0.00435415,0.00177985,0.00419622
0.999978,0.00431284,0.00183699,0.00465498
0.99998,0.00437076,0.00181374,0.00420399
0.999979,0.00426944,0.00187166,0.00445121
0.999981,0.00438005,0.00161901,0.00396127
0.999979,0.00440794,0.00185928,0.0042945
0.99998,0.00444118,0.00166959,0.00409825
0.999978,0.00432078,0.00192135,0.00458112
0.99998,0.00429393,0.00138892,0.00448627
0.999979,0.00433203,0.00204307,0.00446911
0.999979,0.00435182,0.0019345,0.00447898
0.999978,0.00431981,0.00185737,0.00464646
0.99998,0.00435609,0.00135414,0.00447433
0.999979,0.00428438,0.00156092,0.00472223
0.999978,0.00433694,0.00185702,0.00467488
