timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,pos_smooth_x,pos_smooth_y,pos_smooth_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3499658708.540824,1,0.702223,0.526455,-1.398403,2.181403,-0.702223,1.101455,2.179369,-0.693062,1.110068,0.076122,0.512574,0.442832,-0.951438,-0.252367,0.010888,-0.175948
3499658708.573989,1,0.683828,0.538521,-1.398139,2.181139,-0.683828,1.113521,2.178127,-0.696764,1.109228,-0.120171,-0.044514,0.115397,-0.511014,0.077403,0.465005,0.718779
3499658708.591526,1,0.704273,0.528659,-1.418529,2.201529,-0.704273,1.103659,2.176670,-0.697341,1.106667,-0.316605,-0.258805,-0.161385,-0.714872,-0.432573,-0.510291,-0.203570
3499658708.606211,1,0.702471,0.522168,-1.401225,2.184225,-0.702471,1.097168,2.181397,-0.697953,1.105840,0.135258,-0.326126,-0.281853,-0.919711,-0.338908,-0.076311,-0.182893
3499658708.640961,1,0.704932,0.527345,-1.398939,2.181939,-0.704932,1.102345,2.187893,-0.696147,1.105855,0.651051,0.041098,-0.224930,-0.952337,-0.244815,-0.011282,-0.181638
3499658708.651810,1,0.687461,0.541386,-1.400775,2.183775,-0.687461,1.116386,2.188967,-0.699752,1.102653,0.819815,-0.160788,-0.267660,-0.633091,0.173979,0.181615,0.732081
3499658708.686234,1,0.697450,0.523589,-1.395878,2.178878,-0.697450,1.098589,2.188789,-0.699383,1.105040,0.492757,-0.095300,-0.053385,0.010867,-0.154843,0.930770,0.331019
3499658708.782714,1,0.698014,0.523782,-1.396527,2.179527,-0.698014,1.098782,2.178945,-0.696961,1.105733,-0.668165,0.186097,0.205382,0.014963,-0.163074,0.932496,0.321923
3499658709.003867,1,0.701933,0.529413,-1.389002,2.172002,-0.701933,1.104413,2.178983,-0.696219,1.105505,-0.653709,0.210949,0.030995,0.322714,0.357730,0.703080,0.523033
3499658709.069808,1,0.684830,0.541027,-1.396493,2.179493,-0.684830,1.116027,2.176133,-0.698922,1.101967,-0.691312,0.094349,-0.086188,-0.309047,0.175949,0.545098,0.759211
3499658709.087152,1,0.704244,0.528528,-1.418535,2.201535,-0.704244,1.103528,2.172624,-0.698798,1.102329,-0.421405,-0.122498,-0.226934,-0.716182,-0.429623,-0.510927,-0.203620
